r,frac_med,frac_q1,frac_q3
0,0.012987012987012988,0.0125,0.013157894736842105
1,0.06168831168831169,0.06166666666666667,0.06281250000000001
2,0.12437499999999999,0.12,0.125
3,0.1924342105263158,0.173,0.198125
4,0.26103896103896107,0.22599999999999998,0.26151315789473684
5,0.31493506493506496,0.27466666666666667,0.32927631578947364
6,0.37012987012987014,0.33366666666666667,0.3901315789473684
7,0.41753246753246753,0.39266666666666666,0.4447368421052631
8,0.47662337662337667,0.4523333333333333,0.5016447368421053
9,0.5340909090909091,0.5176666666666667,0.5490131578947368
10,0.5902597402597403,0.5813333333333334,0.5986842105263158
11,0.6427631578947368,0.6403333333333333,0.6483766233766234
12,0.7026666666666667,0.6914473684210526,0.7142857142857143
13,0.7656666666666666,0.7378289473684211,0.7827922077922078
14,0.8183333333333334,0.7842105263157895,0.8454545454545453
15,0.8629999999999999,0.8309210526315789,0.9019480519480519
16,0.8976666666666667,0.8723684210526316,0.9409090909090909
17,0.9286666666666668,0.9042763157894737,0.9701298701298702
18,0.954,0.9315789473684211,0.9865625
19,0.9716666666666667,0.956907894736842,0.9925
20,0.9846666666666666,0.9769736842105263,0.9949999999999999
21,0.9923333333333333,0.9868421052631579,0.9974999999999999
22,0.9970000000000001,0.9914473684210525,0.99875
23,0.9979999999999999,0.9950657894736842,0.9996875
24,0.9986666666666667,0.9980263157894737,1.0
25,0.9993333333333334,0.9990131578947368,1.0
26,0.9996710526315788,0.9996666666666666,1.0
27,1.0,1.0,1.0
28,1.0,1.0,1.0
29,1.0,1.0,1.0
30,1.0,1.0,1.0
